variable,base_value,low_value,high_value,swing,mode,min,max
discount,5.458541460723386,12.1328571119343,2.6712128278334264,9.461644284100874,0.03,0.01,0.05
gdp_ppp_per_capita,5.458541460723386,2.729270730361693,10.917082921446772,8.18781219108508,4000.0,2000.0,8000.0
bll_pot_child,5.458541460723386,2.887490926282505,10.600642529605144,7.71315160332264,4.0,1.0,10.0
earn_per_iq,5.458541460723386,3.2751248764340315,10.917082921446772,7.641958045012741,0.005,0.003,0.01
iq_per_bll,5.458541460723386,3.1191665489847917,9.357499646954375,6.2383330979695835,0.35,0.2,0.6
growth,5.458541460723386,2.6176864075537245,6.616739558966372,3.9990531514126473,0.02,0.0,0.025
district_births,5.458541460723386,3.316075121063749,6.044312380342231,2.7282372592784823,20000.0,4000.0,50000.0
bll_mug_child,5.458541460723386,4.833993191860547,7.124003511024284,2.290010319163737,2.0,0.5,6.0
prev_pot,5.458541460723386,4.087314509021581,6.281277631744468,2.193963122722886,0.75,0.5,0.9
logistics_markup,5.458541460723386,6.3982478376842975,4.564662828624374,1.8335850090599237,0.6,0.3,1.0
years_pot,5.458541460723386,4.315852334305217,6.029886023932469,1.7140336896272519,4.0,2.0,5.0
bll_pot_mother,5.458541460723386,4.944331353835209,6.486961674499738,1.5426303206645287,2.0,0.5,5.0
