variable,base_value,low_value,high_value,swing,mode,min,max
discount,6.701662670800789,14.895978382187543,3.27955140083943,11.616426981348113,0.03,0.01,0.05
gdp_ppp_per_capita,6.701662670800789,3.3508313354003945,13.403325341601578,10.052494006201183,4000.0,2000.0,8000.0
earn_per_iq,6.701662670800789,4.020997602480474,13.403325341601578,9.382327739121104,0.005,0.003,0.01
bll_infant_kohl_child,6.701662670800789,3.169159756975073,11.748095404837528,8.578935647862455,5.0,1.5,10.0
iq_per_bll,6.701662670800789,3.8295215261718805,11.488564578515641,7.65904305234376,0.35,0.2,0.6
district_births,6.701662670800789,2.4021421275270427,9.16128929331148,6.759147165784437,20000.0,4000.0,50000.0
growth,6.701662670800789,3.213834942464755,8.1236273139637,4.909792371498945,0.02,0.0,0.025
district_fixed_cost,6.701662670800789,9.16128929331148,4.629923252351182,4.531366040960298,50000.0,20000.0,100000.0
years_kohl_infant,6.701662670800789,4.17844630378242,8.383806915479703,4.205360611697283,1.0,0.5,2.0
adherence,6.701662670800789,4.020997602480474,8.041995204960948,4.020997602480474,0.5,0.3,0.6
bll_maternal_kohl_mother,6.701662670800789,5.460240218227752,9.184507575946865,3.724267357719113,2.0,0.5,5.0
fidelity,6.701662670800789,4.326576073695865,7.767686186767079,3.441110113071214,0.6,0.3,0.8
